Number,Chassis_maker,Body_maker,Model,body_model,year,area,other,other_2,other_3
旭川200か・68,日産ディーゼル,富士重工,KC-UA460NAN,7E,1999,-,-,-,除籍
旭川200か・158,日産ディーゼル,富士重工,KL-UA452PAN改,新7E　　,2001,長距離,-,-,
旭川200か・219,日産ディーゼル,富士重工,KL-UA452PAN改,新7E　　,2002,長距離,-,-,
旭川200か・228,日産ディーゼル,富士重工,KL-UA452PAN改,新7E　　,2002,長距離,-,-,
旭川200か・555,三菱ふそうトラック・バス,MFBM,PA-MK27FM,エアロミディMK,2005,市内,東急バス　,-,
旭川200か・568,日産ディーゼル,富士重工,U-UA440LSN,7E,1994,市内,相鉄バス,8401,除籍
旭川200か・589,日野自動車,日野車体,U-HT2MLAA改,ブルーリボン,1994,市内,川崎市交通局,W-3310,
旭川200か・590,日野自動車,日野車体,U-HT2MLAA改,ブルーリボン,1994,市内,川崎市交通局,W-3309,
旭川200か・591,日野自動車,日野車体,U-HT2MLAA改,ブルーリボン,1994,-,川崎市交通局,A-3308,除籍
旭川200か・593,日野自動車,日野車体,U-HT2MMAA改,ブルーリボン,1994,市内,京急バス,E3458,
旭川200か・611,日野自動車,富士重工,U-HT2MMAA,7E,1994,-,遠鉄バス,2469,除籍
旭川200か・660,日野自動車,日野車体,KC-HU2MLCA改,ブルーリボン,1996,市内,横浜市交通局,6-3589,
旭川200か・708,日野自動車,日野車体,U-RJ3HJAA,レインボーRJ,1995,市内,神奈中バス,や03,除籍
旭川200か・719,日産ディーゼル,富士重工,KC-JP250NTN,8E,1996,市内,西東京バス,A5713,除籍
旭川200か・795,三菱ふそうトラック・バス,MBM,KC-MP717M,エアロスター,1998,-,神奈中バス,つ082,除籍
旭川200か・796,日産ディーゼル,富士重工,KC-UA460LSN改,7E,1998,市内,西武バス,A8-498,除籍
旭川200か・802,日産ディーゼル,富士重工,KC-UA460LSN,7E,1997,銀泉台,西武総合企画,S-102,
旭川200か・813,三菱ふそうトラック・バス,MBM,KC-MP717MT,エアロスター,1997,-,神奈中バス,ち66,除籍
旭川200か・854,三菱ふそうトラック・バス,MBM,KC-MP717M,エアロスター,1998,-,神奈中バス,よ58,除籍
旭川200か・856,三菱ふそうトラック・バス,MBM,KC-MP717M,エアロスター,1998,-,神奈中バス,ひ150,除籍
旭川200か・881,三菱ふそうトラック・バス,MBM,KC-MP747M,エアロスター,2000,市内,名古屋市交通局,NF-9,
旭川200か・896,三菱ふそうトラック・バス,MBM,KC-MP747M,エアロスター,2000,市内,名古屋市交通局,NF-7,
旭川200か・897,三菱ふそうトラック・バス,MBM,KC-MP747M,エアロスター,2000,市内,名古屋市交通局,NF-8,→旭川230あ8133/除籍
旭川200か・900,三菱ふそうトラック・バス,MBM,KC-MP747K,エアロスター,1997,市内,尼崎市交通局,-,
旭川200か・902,三菱ふそうトラック・バス,MBM,KC-MP747K,エアロスター,1997,市内,尼崎市交通局,9-167,
旭川200か・918,三菱ふそうトラック・バス,MBM,KC-MP747K,エアロスター,1997,市内,尼崎市交通局,-,
旭川200か・931,三菱ふそうトラック・バス,MFBM,KL-MS86MP,エアロバス,2003,リンクス,豊鉄バス,556,
旭川200か・937,日産ディーゼル,西日本車体工業,KC-UA460HAN改,96MC B-I,2000,市内,横浜市交通局,9-4534,
旭川200か・938,日産ディーゼル,西日本車体工業,KC-UA460HAN改,96MC B-I,2000,市内,横浜市交通局,9-4533,
旭川200か・939,日産ディーゼル,西日本車体工業,KC-UA460HAN改,96MC B-II,2000,市内,尼崎市交通局,11-747,
旭川200か・945,いすゞ自動車,IBUS,KC-LR333J改,ジャーニーKワンステップ,1999,市内,小田急バス,,除籍
旭川200か・946,日産ディーゼル,西日本車体工業,KC-UA460HAN改,96MC B-II,2000,市内,尼崎市交通局,11-746,除籍
旭川200か・947,日産ディーゼル,西日本車体工業,KC-UA460HAN改,96MC B-II,2000,市内,尼崎市交通局,11-745,
旭川200か・952,日産ディーゼル,西日本車体工業,KC-UA460HAN改,96MC B-II,2000,市内,尼崎市交通局,11-753,
旭川200か・953,日産ディーゼル,西日本車体工業,KC-UA460HAN改,96MC B-II,2000,市内,尼崎市交通局,11-752,
